algorithm,matrix_size,run,time_ms,residual,status
Jewell  (Hash + Pivot),8,23,0.110708,2.514121e+02,OK
Jewell  (Hash + Pivot),8,24,0.110333,2.514121e+02,OK
Jewell  (Hash + Pivot),8,25,0.109917,2.514121e+02,OK
Jewell  (Hash + Pivot),8,26,0.110333,2.514121e+02,OK
Jewell  (Hash + Pivot),8,27,0.110084,2.514121e+02,OK
Jewell  (Hash + Pivot),8,28,0.109417,2.514121e+02,OK
Jewell  (Hash + Pivot),8,29,0.111125,2.514121e+02,OK
Jewell  (Hash + Pivot),8,30,0.110291,2.514121e+02,OK
Carson  (LU Decomp),8,1,0.081042,2.018494e+02,OK
Carson  (LU Decomp),8,2,0.055959,2.018494e+02,OK
Carson  (LU Decomp),8,3,0.049292,2.018494e+02,OK
Carson  (LU Decomp),8,4,0.047792,2.018494e+02,OK
Carson  (LU Decomp),8,5,0.047042,2.018494e+02,OK
Carson  (LU Decomp),8,6,0.046625,2.018494e+02,OK
Carson  (LU Decomp),8,7,0.046084,2.018494e+02,OK
Carson  (LU Decomp),8,8,0.046958,2.018494e+02,OK
Carson  (LU Decomp),8,9,0.046167,2.018494e+02,OK
Carson  (LU Decomp),8,10,0.046250,2.018494e+02,OK
Carson  (LU Decomp),8,11,0.046125,2.018494e+02,OK
Carson  (LU Decomp),8,12,0.046042,2.018494e+02,OK
Carson  (LU Decomp),8,13,0.045709,2.018494e+02,OK
Carson  (LU Decomp),8,14,0.045666,2.018494e+02,OK
Carson  (LU Decomp),8,15,0.046208,2.018494e+02,OK
Carson  (LU Decomp),8,16,0.045583,2.018494e+02,OK
Carson  (LU Decomp),8,17,0.045750,2.018494e+02,OK
Carson  (LU Decomp),8,18,0.045459,2.018494e+02,OK
Carson  (LU Decomp),8,19,0.045333,2.018494e+02,OK
Carson  (LU Decomp),8,20,0.045875,2.018494e+02,OK
Carson  (LU Decomp),8,21,0.045625,2.018494e+02,OK
Carson  (LU Decomp),8,22,0.045750,2.018494e+02,OK
Carson  (LU Decomp),8,23,0.046583,2.018494e+02,OK
